,01/01/2018,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
ETF 1 ,1.0000000000000004,0.9327526245925175,0.876694793818445,0.6207499482685066,0.5615375448831664,0.4296258032660947,0.21405623153835418,0.2148481373719317,0.6487846245785889,0.1930873978082053,0.43527801764527685,0.4560425530588408,0.0885824516398837,0.3013035715380618
ETF 2,0.9704902565730829,0.8928458817110514,0.8756573153699276,0.7451761704778338,0.6772239973516767,0.5471614084069655,0.33261599897542643,0.2725226506827349,0.7231357355518737,0.23964654500049845,0.5326580481299733,0.5550363999236357,0.1374817344949244,0.3502973600978354
ETF 3,0.43530132581151887,0.38564972051496954,0.41749668992596123,0.5533894198080821,0.5442644576171082,0.9987017355215793,0.5229369178090143,0.19228023760983964,0.5524322384689039,0.23089264305582882,0.609390137366569,0.5702903376225488,0.12300433086226385,0.3245015735562219
ETF 4,0.9491275928242693,0.8696069173529645,0.859227863174386,0.7631632340357136,0.6987011940894328,0.6342565025340445,0.3803197616540454,0.2775466330641121,0.7398995191722434,0.25297795689789215,0.5726544134919344,0.587933360464444,0.1431836381024872,0.3647413771459779
ETF 5,0.5615430923781557,0.4182145800156239,0.564273773723202,0.8581718028037689,0.9999997814324944,0.5368668307813671,0.3367208205661617,0.13918359368341052,0.564536654500716,0.11366358889275795,0.5082182395396627,0.4880321791412014,0.03557144596123971,0.3251004928810219
ETF 6,0.9802605302905293,0.8968396831143903,0.883373501086732,0.615210380567556,0.5589729355835088,0.4169598860104449,0.2100896780319026,0.23432270544882033,0.6490428282677628,0.20517180594566026,0.431936199128565,0.45997461690724956,0.10909364219219127,0.2990930220117293
ETF 7,0.1940146269993856,0.17953968116072405,0.2049468646886472,0.17891966259473438,0.11053619989680664,0.2082996165492261,0.13064378805538743,0.6043852196808777,0.4869531690003647,0.9858321860830921,0.5067179017555474,0.5601009911478345,0.23689983313129445,0.07274286229454661
ETF 8,0.1329587603496433,0.12240211673558547,0.1307490590642621,0.0838936337615565,0.09333736549966719,0.2083854580158792,0.03371846700218259,0.24912325169937033,0.20188386873631614,0.24951125111798628,0.16938259660155233,0.28903500335446314,0.7529909334435976,0.3185220093823916
ETF 9,0.9416236104161622,0.8811118490963128,0.8145168773001225,0.5381046789594917,0.5028717977630952,0.32918501942986744,0.1713495795636441,0.1195305267844422,0.5304485688566476,0.150858465679477,0.35470765902271684,0.32498986898328597,-0.029276536789154643,0.23655239784385876
ETF 10,0.4560425507042551,0.3870333240795046,0.43480659113303705,0.5317514975473254,0.48800262819566276,0.5558809481741798,0.2967453705199141,0.6148366459920681,0.7695377041053413,0.57023424397916,0.699165012494203,0.9999999999999977,0.2074987720001504,0.2130051093174036
