,ETF 1 ,ETF 2,ETF 3,ETF 4,ETF 5,ETF 6,ETF 7,ETF 8,ETF 9,ETF 10,ETF 11,ETF 12,ETF 13,ETF 14,ETF 15,ETF 16,ETF 17,ETF 18,ETF 19,ETF 20,ETF 21,ETF 22,ETF 23,ETF 24,ETF 25,ETF 26,ETF 27,ETF 28,ETF 29,ETF 30,ETF 31,ETF 32,ETF 33,ETF 34,ETF 35,ETF 36,ETF 37,ETF 38,ETF 39,ETF 40,ETF 41,ETF 42,ETF 43,ETF 44,ETF 45,ETF 46,ETF 47,ETF 48,ETF 49,ETF 50,ETF 51,ETF 52,ETF 53,ETF 54,ETF 55,ETF 56,ETF 57,ETF 58,ETF 59,ETF 60,ETF 61,ETF 62,ETF 63,ETF 64,ETF 65,ETF 66,ETF 67,ETF 68,ETF 69,ETF 70,ETF 71,ETF 72,ETF 73,ETF 74,ETF 75,ETF 76,ETF 77,ETF 78,ETF 79,ETF 80,ETF 81,ETF 82,ETF 83,ETF 84,ETF 85,ETF 86,ETF 87,ETF 88,ETF 89,ETF 90,ETF 91,ETF 92,ETF 93,ETF 94,ETF 95,ETF 96,ETF 97,ETF 98,ETF 99,ETF 100,ETF 101,ETF 102,ETF 103,ETF 104,ETF 105
2019-03-27,0.0,0.0,0.0,0.0,0.00016604276549023626,0.243881111283333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05186694628413903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043206526853955494,0.007204112125784323,0.0,0.0013358936472620065,0.0,0.0,0.0,0.24514587736307228,2.8890423978347913e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001189913650703284,0.0,0.0,0.0,0.0,0.0,0.0,0.006649172427429876,0.0,0.0,0.18559728529682054,0.24767037764283656,0.0,0.0008527511042767953,0.0014550752488134728,0.00019181050145862595,0.0,0.0,0.0,0.0,0.0,0.0024145387246791794,0.0,0.0,0.0,0.0,0.0,0.0,3.3141754640240434e-05,0.0,0.0,0.0,0.0003613984118468214,0.0,0.0,0.0,0.0,0.0,0.000288676177049827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004381626901132581,0.0,0.0,0.0019152147090557346,0.0,0.0,0.0002153205591940989,0.0,0.0008058416530992206,5.824259511063559e-05,0.0,0.00026151240546001434,0.00034986320768630333,7.173061115954137e-05,0.0,0.00018995375260021845,0.0,0.0,0.0
2019-04-03,0.0,0.0,0.0,0.0,9.353109450342956e-05,0.24528199924109856,0.0,6.843633022864408e-05,0.00013666516598533952,0.0,0.0,0.0,0.0,0.07212450932758366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006424251839260278,0.006611509921999021,0.0,0.0,0.00024230771850937516,0.0,0.0002376975495909695,0.24470257309953194,0.0006359099929194531,0.0,0.0,0.00013989658222884343,0.0,0.0,0.0,0.0,0.0,0.0,0.00034631740037751235,0.0,0.0,0.0,0.0,0.0,0.0,0.007464244829240277,0.0,0.0,0.16704745385043185,0.24690035996117463,8.751183564315699e-05,0.0,0.0010484491113855303,0.0001717780108130415,0.0,0.0,0.0,0.0,0.0,0.0011410301892250778,0.0,0.0,0.0,0.00027760270144545023,0.0,0.0,0.0002455448009200337,0.0,0.0,0.0,7.960067909863962e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005657280741464807,0.0,0.0,0.0,0.0,0.0,0.000440858287518675,0.0,0.0,0.001638217081018447,0.0,0.0,0.0,0.0,0.0006684989405764773,8.317402702232734e-05,0.0,0.00016921378900453495,0.0003589215137000495,0.0,0.0,0.00034803370915262885,0.0,0.0,0.0
2019-04-10,0.0,0.0,0.0,0.0,0.0002585482871373528,0.24560246659249071,0.0,7.19459495549667e-05,0.0008498036313351068,0.0,0.0,0.0,0.0,0.07882729546237471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008776309510846658,0.0,0.0,0.00044570822581973445,0.0,0.0,0.24278606782983939,0.0002254062684217503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003396163385464398,0.0,0.0,0.0,0.0,0.0,0.0,0.012192909047518614,0.0,0.0,0.1552119250188266,0.24565224516320375,4.605321181511434e-05,0.0,0.0008478707638249443,0.00036125273623806054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002821745499890443,0.0,0.0,0.0,0.00024627127021679246,0.0,0.0,0.0,0.0,0.0,0.0008715882185221887,0.0,0.0009895560602381725,0.0,0.0,0.0,0.0,0.0,0.000758036021132201,0.0,0.0,0.0010099114823616852,0.00042294408070907925,0.0,0.0,0.0,0.000823115090955265,0.0,0.0,0.00045602886598889174,0.0003379570827287346,0.0009066384279035796,0.0,0.0004003548114603929,0.0,0.0,0.0
2019-04-17,0.0,0.0,0.0,0.0,3.5327319782394144e-05,0.24444701934214327,0.0,0.00010680627626766577,0.0009573488860823858,0.0,0.0,0.0,0.0,0.09809520826580598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007138826607090331,0.0,0.0,0.0005254157788137071,0.0,0.0,0.24367401134158895,0.0004961398195615575,0.0,0.0,0.0,0.0,3.8829597061986894e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017460678854348367,0.0,0.0,0.138227665664253,0.24417733118072654,8.394856485993975e-05,0.0,0.0006406456120291486,0.00040235916849043577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000186452933810798,0.0,0.0,0.00013743031012851566,0.0,0.0,0.0,0.0,0.0,0.00028218424318789874,0.0,0.00020511411819989914,0.0,0.0,0.0,0.0,0.0,0.0003062953241455878,0.0,0.0,0.00020116143044177526,0.000855587920440207,0.0,0.0,0.0,0.00040549299028919215,2.3232470851199048e-05,0.0,0.0003624966845984765,0.0002588313221033324,0.0003031046102528845,0.0,0.0,0.0,0.0,0.0
2019-04-24,0.0,0.0,0.0,0.0,0.0,0.2445811513581103,0.0,6.966353352948372e-05,0.0009426924845270464,0.0,1.6738262417729512e-05,0.0,0.0,0.10533310047048902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006472922956262267,0.0,0.00067621703268644,0.2443859750443845,0.0006012699517468197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.592828310363389e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.015328320501013197,0.0,0.0,0.13768478043275884,0.24479200561841183,1.1279259643067464e-05,0.0,0.001337531919648831,0.00025346729997198015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005829166374110564,0.0,0.0001064663778343161,0.0,0.0,0.0,0.0,0.0,3.273753650872991e-05,0.0,0.00030293042761631045,0.0,0.0,0.0,0.0,0.0,0.000350335334855597,0.0,0.0,0.0008820245345050543,0.0,0.0,0.0,0.0,0.0,6.012611922352248e-05,0.0,0.0001201553825810898,0.0003432915250393972,0.0003237249731046045,0.0,0.00019787740325142493,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.00029804710666122674,0.24212636145030988,0.0,0.00013004313172751826,0.0010792779896682293,0.0,0.00022873868510235915,0.0,0.0,0.09740250553289202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021208384309732388,0.0006400932663417041,0.0,0.003070190057432688,0.24295620354607897,0.001133783866337378,0.0,0.0,0.0,0.0,0.0004297168821444578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011321476083630284,0.0001355675614372832,0.0,0.1467240928242103,0.24440983998067187,0.0,0.0,0.0012562784067059027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047772862383338075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013476285126610532,0.0,0.00023959084819340782,0.0,0.0,0.0,0.0,0.0,0.0,0.0005755995205722685,0.0,0.0,0.0,0.0,0.0008574454540358886,7.114813955927088e-05,0.0,0.00021407036857512036,0.00040685871040985314,0.0003468750198343127,0.0,0.0,0.0,0.0,0.0
2019-05-08,0.0,0.0,0.0,0.0,0.00045079925546878696,0.24265271371487057,0.0,6.242564226292177e-05,0.0005053953963196914,0.0,0.0,0.0,0.0,0.05383643135223445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017702964336050089,0.0,0.0,0.0028171641848195646,0.24345272056982933,0.0009897427697522826,0.0,0.0,0.0,0.0003986938610504185,0.0,0.0,0.0,0.0,0.0,0.0,9.848997622286207e-05,0.0,0.0,0.0,0.0,0.00020958677190388954,0.01329460638987549,0.00039824228422068885,0.0,0.18903595885422791,0.24329905359823017,0.0,0.0,0.0007887175601249301,0.00032462264217672857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003560192595949651,0.0,0.0,0.0,0.0,0.0,0.0003337352912802192,0.0,1.4818782458446258e-05,0.0,0.0003655014440448257,0.0,0.0006427813569567874,0.0,0.000995438147329243,0.0,0.0006486840273391181,0.00117624728836301,0.0,0.0,0.0,0.0,0.00027751986462492336,0.0,0.0,5.4892863802205744e-05,0.0002067215657293279,0.0,0.0,0.0005419788512812619,0.0,0.0,0.0
2019-05-15,0.0,0.0,0.0,0.0,0.0005944841222620341,0.24631844292797336,0.0,0.0,0.00016448365790933104,0.001993190507679016,0.0,0.0,0.0,0.059433644437064136,0.0005942014875948743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001642211869058177,0.0,0.0,0.002399559281669416,0.0,0.0,0.0023414826030390364,0.24449277340424824,0.0,0.0,0.0,0.0,0.0008564437982857382,0.00019052717541289736,0.0,0.0,0.0,0.0,0.0003045535400624636,0.0,0.0,0.0,0.0,0.0,0.00015613476689651555,0.0,0.000479404459812911,0.0,0.18786693156797765,0.24754920984845089,6.721217101075129e-05,0.0,0.0,0.0,0.0,9.389935461805404e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038596531926172464,0.0,0.0,0.0,0.0,0.0,0.00014394335315404908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002415468417423693,4.54741101055717e-05,0.0,0.0,0.0003685862108094039,0.0,0.0,0.000579762290372429,0.0,0.0,0.0
2019-05-22,0.0,0.0,0.0,0.0,0.00020842317067563767,0.23908866467986936,0.0,0.0,0.0,0.0015606606587314894,0.0,0.0,0.0,0.0473822818928863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012005728334342792,0.0,0.0,0.0008637805757109727,0.0,0.0,0.005299419080959273,0.2412861279281945,0.0,0.0,0.0,0.0,0.0,0.00028040483852927124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019635770894030256,0.0004953543555145722,0.0,0.19682343572142896,0.24416046603862954,0.00010225489533602754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011667615286483436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001594218164633556,9.438397647728233e-05,0.0,0.0,0.0002669663722065838,0.0,0.0,0.0006206533199781829,0.0,0.0,0.0
2019-05-29,0.0,0.0,0.0,0.0,0.00019605186962207288,0.23820229175257937,0.0,0.0,0.0,0.0012944786559773228,0.0,0.0,0.0,0.05796308023928959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.254263483600727e-05,0.0,0.0,0.0007576292384062906,0.0,0.0,0.005799436926793529,0.24066771576495175,0.0,0.0,0.0,0.0,0.000536528545412179,0.0003477676981296605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02026983110453365,0.0005332540071451985,0.0,0.18601286728984304,0.24413252987964493,9.521050267865558e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012158037961364913,0.0,0.0,0.0,0.0,0.0,7.330131844665524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001997634891242884,9.041880760751529e-05,0.0,0.0,0.00015375479304894146,0.0,0.0,0.0006720937001972868,0.0,0.0,0.0
