,Best_Asset,Correlation,Category
ETF 88,01/01/2018,0.8437671469400477,01/01/2018
ETF 89,Unnamed: 4,0.9940983463116538,Unnamed: 4
ETF 90,Unnamed: 10,0.49397351089462566,Unnamed: 10
ETF 91,Unnamed: 8,0.747066842526792,Unnamed: 8
ETF 92,01/01/2018,0.9797489609783038,01/01/2018
ETF 93,Unnamed: 3,0.9471250727248781,Unnamed: 3
ETF 94,01/01/2018,0.9643490480846072,01/01/2018
ETF 95,Unnamed: 6,0.9888216183279374,Unnamed: 6
ETF 96,Unnamed: 6,0.6535959554803924,Unnamed: 6
ETF 97,Unnamed: 7,0.957486561022219,Unnamed: 7
ETF 98,01/01/2018,0.7998185130927434,01/01/2018
ETF 99,01/01/2018,0.8288569682129078,01/01/2018
ETF 100,Unnamed: 4,0.8132824275494249,Unnamed: 4
ETF 101,01/01/2018,0.9720493817183836,01/01/2018
ETF 102,Unnamed: 6,0.9753398167614115,Unnamed: 6
ETF 103,Unnamed: 12,0.9989508114542027,Unnamed: 12
ETF 104,Unnamed: 4,0.9938362535989962,Unnamed: 4
ETF 105,01/01/2018,0.9662755916134042,01/01/2018
